Term	Notes	Korean	Japanese	English	Chinese (Simplified)	Chinese (Traditional)
ba_gacha1_booster_name		학생 모집 (1회)	学生募集(1回)	Student Recruit (x1)	学生招募 (1次)	學生招募 (1次)
ba_kasumizawa_miyu_name		미유	ミユ	Miyu	霞泽美游	霞澤美遊
ba_kasumizawa_miyu_description		SRT 특수학원, RABBIT 소속 카스미자와...... 미유, 입니다......	SRT特殊学園、RABBIT小隊の霞沢ミユ、です……	Th-This is SRT Special Academy. RABBIT Squad's Kasumizawa Miyu...	明天将吹起明日之风......	明天將吹起明日之風......
ba_gsc_president_name		총학생회장	連邦生徒会長	GSC President	联邦学生会主席	聯邦學生會長
ba_gsc_president_description		실종된 총학생회장, 정체를 알 수 없다	行方不明になった連邦生徒会長、正体が分からない。	The missing GSC President, identity unknown.	失踪的联邦学生会主席，身份不明。	失蹤的聯邦學生會會長，身份不明。
ba_tendou_aris_name		아리스	アリス	Aris	天童爱丽丝	天童愛麗絲
ba_tendou_aris_description		빛------ 이여-------!	ひか------りよ-------!	Hi------kari Yo-------!	勇士啊。光芒与你同在。	勇士啊。光芒與你同在。
ba_takanashi_hoshino_name		호시노	ホシノ	Hoshino	小鸟游星野	小鳥遊星野
ba_takanashi_hoshino_description		으헤~ 어쩔 수 없나~ 이 아저씨가 나설 차례인가?	うへ～仕方ないか～このおじさんの出番か？	Uhe~, what a pain...	呼啊～啊。适可而止吧，毕竟悠闲很重要。	呼啊～啊。适可而止吧，毕竟悠闲很重要。
ba_sorasaki_hina_name		히나	ヒナ	Hina	空崎阳奈	空崎陽奈
ba_sorasaki_hina_description		귀찮아... 귀찮지만 할 일은 해야겠지. 그게 내 의무니까.	面倒くさい···面倒くさいけど、やるべきことはしなきゃ。 それが私の義務だから。	It's troublesome... It's troublesome, but you have to do what you have to do. Because that's my duty.	虽然很麻烦，不过必须做该做的事，因为那就是我的义务	雖然很麻煩，不過必須做該做的事，因為那就是我的義務
ba_shimoe_koharu_name		코하루	コハル	Koharu	下江小春	下江小春
ba_shimoe_koharu_description		불결한 물건들은 전부 소각이야, 소각! 야한 건 안 돼! 금지! 사형!	不潔なものはすべて焼却だよ、焼却！ エッチなのはダメ！ 禁止！死刑！	All unclean things should be incinerated, incinerated! Don't be naughty! Ban! Death penalty!	下流的事情是禁止的！死罪！	下流的事情是禁止的！死罪！
ba_rikuhachima_aru_name		아루	アル	Aru	陆八魔亚瑠	陸八魔亞瑠
ba_rikuhachima_aru_description		무엇이든 해결해 드립니다	何でも解決いたします	We will solve anything	我一直在等你。无论什么样的委托，便利屋都会去完成的。	我一直在等你。無論什麼樣的委託，便利屋都會去完成的。
ba_hayase_yuuka_name		유우카	ユウカ	Yuuka	早濑优香	早瀨優香
ba_hayase_yuuka_description		계산대로. 완벽해.	計算通り、完璧。		As calculated, perfect.	条件已经达成，完美。	條件已經達成，完美。
ba_misono_mika_name		미카	ミカ	Mika	圣园弥香	聖園彌香
ba_misono_mika_description		응! 오래 기다렸지? 이제 내가 활약할 차례인 거네☆	うん！お待たせ！これからはなんでも私に任せてね☆	Yeah, here you go! From now on, you can leave everything to me☆	嗯，久等啦！今后就全都交给我吧☆	嗯，久等啦！今後就全都交給我吧☆
ba_sunaookami_shiroko_name		시로코	シロコ	Shiroko	砂狼白子	砂狼白子
ba_sunaookami_shiroko_description		이 근처에 분명 은행이...	この辺に確か銀行が	I'm sure there's a bank around here	我确信这附近有一家银行	我確信這附近有一家銀行
ba_natsume_iroha_name		이로하	イロハ	Iroha	枣伊吕波	棗伊呂波
ba_natsume_iroha_description		후우... 살짝 딴 데서 농땡이 부리지 않을래요?	ふぅ……ちょっとどこかでサボりません？	Hm... Would you like to skip somewhere for a moment?	今天也一如既往的偷懒度过吧?	今天也一如既往的偷懶度過吧?
ba_ajitani_hifumi_name		히후미	ヒフミ	Hifumi	阿慈谷日富美	阿慈谷日富美
ba_ajitani_hifumi_description		아하하... 부족한 저이지만... 잘 부탁드려요.	あはは…至らない私ですがよろしくお願いします。	Haha...I'm not very good at this, but pleased to meet you.	啊哈哈…我还有很多不足的地方，请多多指教。	啊哈哈…我還有很多不足的地方，請多多指教。
op_onDbg_name		디버그 모드	デバッグモード	Debug Mode	调试模式	Debug模式
op_onDbg_tooltip		디버그에 필요한 기능들	デバッグに必要な機能	Functions required for debugging	调试所需的功能	Debug所需的功能
op_onFCR_name		풀 컬러 비주얼	カラフルなビジュアル	Colorful Visual	丰富多彩的视觉效果	豐富多彩的視覺效果
op_onFCR_tooltip		캐릭터 렌더링을 흑백 대신, 풀 컬러로 합니다.	キャラクターのレンダリングを白黒ではなくフルカラーにします。	Makes character rendering full color instead of black and white.	使角色渲染为彩色而不是黑白。	讓角色呈現全彩而不是黑白。
op_noGacha_name		고확률 학생 모집	高確学生募集	High-probability Recruit	高概率招募	高機率招募
op_noGacha_tooltip		모집에서 학생 이 외 카드가 등장하지 않도록 하며, (오류 방지를 위한) 코인이 굉장히 낮은 확률로 등장하도록 설정합니다.	募集で学生以外のカードが登場しないようにし、（エラー防止のため）コインがとても低い確率で登場するように設定します。	The option ensures that no cards other than students appear in the recruitment, and sets a very low probability for coins to appear (to prevent errors).	该选项可确保在招募中不会出现除学生之外的卡片，并且将硬币出现的概率设置得非常低（以防止错误）。	此選項可確保招募中不會出現學生以外的任何卡片，並設定非常低的硬幣出現機率（以防止錯誤）。
op_pickupVolume_name		학생 보이스 음량	生徒ボイス音量	Student voice volume	Student voice volume	Student voice volume
op_pickupVolume_tooltip		학생 카드를 집어들 때, 재생되는 대사의 음량을 제어합니다. 설정가능한 최소값은 0이고, 최대값은 100입니다.	生徒カードをドラッグした際に再生されるボイスの音量を設定します。設定値は0〜100です。	Adjusts the voice volume when dragging a student card. (Range: 0–100)	Adjusts the voice volume when dragging a student card. (Range: 0–100)	Adjusts the voice volume when dragging a student card. (Range: 0–100)
ba_tendou_aris_armed_name		아리스 (무장)	アリス　(臨戦)	Tendou Alice (Armed)	Tendou Alice (Armed)	Tendou Alice (Armed)
ba_tendou_aris_armed_description		아리스, 더 많은 세상을 보고 싶습니다!	アリス、先生と一緒にいろんな世界を冒険してみたいです！	I'll never give up... That's the mark of a true hero!!	I'll never give up... That's the mark of a true hero!!	I'll never give up... That's the mark of a true hero!!
ba_kei_name		케이	ケイ	Kei	Kei	Kei
ba_kei_description		왜, 왜 그래요……? '사람' 처음 봐요?!	ふん。もう少し感謝してください。	Hmph, you should've shown a little more gratitude!	Hmph, you should've shown a little more gratitude!	Hmph, you should've shown a little more gratitude!
ba_tsukatsuki_rio_armed_name		리오 (무장)	リオ　(臨戦)	Rio (Armed)	Rio (Armed)	Rio (Armed)
ba_tsukatsuki_rio_armed_description		전자전이라면 맡겨 줘. 가장 합리적인 대응을 보여 줄게.	電子戦なら任せてちょうだい。最も合理的な解を見せてあげる。	Leave it to me. I'll show you the most rational solution.	Leave it to me. I'll show you the most rational solution.	Leave it to me. I'll show you the most rational solution.
ba_akeboshi_himari_armed_name		히마리 (무장)	ヒマリ　(臨戦)	Himari (Armed)	Himari (Armed)	Himari (Armed)
ba_akeboshi_himari_armed_description		엄청난 일이 되었지만, 할 일은 마찬가지죠. 냉정하고 우아하게 대처할까요?	見惚れてしまいましたか?	Fufu♪ Allow me to show you… the true essence of the super-genius, pure, frail, beautiful girl.	Fufu♪ Allow me to show you… the true essence of the super-genius, pure, frail, beautiful girl.	Fufu♪ Allow me to show you… the true essence of the super-genius, pure, frail, beautiful girl.
ba_saiba_midori_winter_name		미도리 (겨울)	ミドリ　(冬)	Midori (Winter)	Midori (Winter)	Midori (Winter)
ba_saiba_midori_winter_description		재미있는 게임 추천받아요.	最高のプレイで先生をお手伝いしますね。	It's as precise as a dot...!	It's as precise as a dot...!	It's as precise as a dot...!
ba_saiba_momoi_winter_name		모모이 (겨울)	モモイ　(冬)	Momoi (Winter)	Momoi (Winter)	Momoi (Winter)
ba_saiba_momoi_winter_description		엣-헴! 이걸로 퀘스트 클리어!	私の好感度を上げたいなら、新作のゲームをも～っと買って！	Wanna hear a fun story? Let me tell you!	Wanna hear a fun story? Let me tell you!	Wanna hear a fun story? Let me tell you!
ba_kirifuji_nagisa_swimsuit_name		나기사 (수영복)	ナギサ　（水着）	Nagisa (Swimsuit)	Nagisa (Swimsuit)	Nagisa (Swimsuit)
ba_kirifuji_nagisa_swimsuit_description		마음 편히 쉬는 것도, 쉽지만은 않군요.	ごきげんよう、先生。このたびの休息が、心穏やかなものとなりますよう祈っております。	*sigh*… I just wanted to fully enjoy this vacation.	*sigh*… I just wanted to fully enjoy this vacation.	*sigh*… I just wanted to fully enjoy this vacation.
ba_yurizono_seia_swimsuit_name		세이아 (수영복)	セイア（水着）	Seia (Swimsuit)	Seia (Swimsuit)	Seia (Swimsuit)
ba_yurizono_seia_swimsuit_description		후후. 달라진 것은, 겉모습만이 아닐 겁니다.	海……この時をどれほど待ちわびたことか。泡沫のひと時を楽しもうじゃないか。	All things are constantly changing... and it's not just about appearances.	All things are constantly changing... and it's not just about appearances.	All things are constantly changing... and it's not just about appearances.
